latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.43505,-85.12192,328.53,0.5,0.41,2020-01-01,1843,N,VIIRS,l,2,299.25,1.61,D,0
10.45438,-85.23608,299.65,0.4,0.37,2020-01-02,0718,N,VIIRS,n,2,277.15,0.47,N,0
9.9629,-84.29732,328.57,0.6,0.53,2020-01-02,1824,N,VIIRS,n,2,291.97,3.39,D,0
10.41643,-85.50761,302.16,0.48,0.4,2020-01-03,0659,N,VIIRS,n,2,289.4,0.65,N,0
10.04524,-84.83905,308.33,0.44,0.38,2020-01-03,0659,N,VIIRS,n,2,285.93,1.05,N,0
10.41707,-85.51196,301.03,0.48,0.4,2020-01-03,0659,N,VIIRS,n,2,288.93,0.65,N,0
10.40465,-85.3279,336.4,0.52,0.5,2020-01-04,1927,N,VIIRS,n,2,299.77,3.78,D,0
10.40609,-85.32562,333.22,0.52,0.5,2020-01-04,1927,N,VIIRS,n,2,299,2.95,D,0
10.45612,-85.23447,309.58,0.63,0.72,2020-01-05,0621,N,VIIRS,n,2,292.67,1.63,N,0
10.45624,-85.23348,304.46,0.62,0.71,2020-01-05,0802,N,VIIRS,n,2,291.07,0.79,N,0
10.56202,-85.59327,341.99,0.41,0.37,2020-01-05,1908,N,VIIRS,n,2,300.02,4.05,D,0
10.56546,-85.59378,331.37,0.41,0.37,2020-01-05,1908,N,VIIRS,n,2,298.87,4.05,D,0
10.56474,-85.59377,346.66,0.41,0.37,2020-01-05,1908,N,VIIRS,n,2,298.9,7.74,D,0
9.78976,-84.28615,335.49,0.46,0.39,2020-01-05,1908,N,VIIRS,l,2,309.61,8.99,D,0
10.47164,-85.49883,334.42,0.42,0.37,2020-01-05,1908,N,VIIRS,n,2,302.09,2.53,D,0
10.47373,-85.49876,335.69,0.42,0.37,2020-01-05,1908,N,VIIRS,n,2,301.33,4.46,D,0
10.33387,-85.44211,327.3,0.44,0.38,2020-01-06,1849,N,VIIRS,n,2,297.25,2.01,D,0
9.81917,-83.35522,327.07,0.39,0.36,2020-01-06,1849,N,VIIRS,n,2,292.53,2.01,D,0
9.03488,-83.19709,328.15,0.39,0.36,2020-01-06,1849,N,VIIRS,n,2,299.94,2.55,D,0
10.41459,-85.20278,304.6,0.46,0.39,2020-01-07,0724,N,VIIRS,n,2,294.16,0.77,N,0
10.38031,-85.5146,329.97,0.45,0.39,2020-01-07,0724,N,VIIRS,n,2,293.32,14.95,N,0
10.37676,-85.51521,349.82,0.45,0.39,2020-01-07,0724,N,VIIRS,n,2,298.28,14.95,N,0
10.49642,-84.17387,339.1,0.45,0.47,2020-01-07,1830,N,VIIRS,n,2,298.08,4.13,D,0
10.01798,-85.24593,345.11,0.54,0.51,2020-01-07,1830,N,VIIRS,n,2,303.32,8.94,D,0
10.22122,-83.48501,330.35,0.41,0.45,2020-01-07,1830,N,VIIRS,n,2,297.42,3.85,D,0
9.98927,-84.75349,304.13,0.39,0.36,2020-01-08,0705,N,VIIRS,n,2,292.61,1.09,N,0
10.4224,-85.50906,327.94,0.41,0.37,2020-01-08,0705,N,VIIRS,n,2,292.57,2.2,N,0
10.6281,-85.48526,306.4,0.41,0.37,2020-01-08,0705,N,VIIRS,n,2,293.5,0.81,N,0
9.99262,-84.75296,319.49,0.39,0.36,2020-01-08,0705,N,VIIRS,n,2,293.23,1.09,N,0
9.14499,-83.32108,309.16,0.39,0.36,2020-01-08,0706,N,VIIRS,n,2,291.65,0.97,N,0
9.14111,-83.31811,308.19,0.39,0.36,2020-01-08,0706,N,VIIRS,n,2,291.63,0.6,N,0
10.021,-85.22544,329.38,0.69,0.75,2020-01-08,1952,N,VIIRS,n,2,293.04,5.99,D,0
10.0267,-85.22263,328.19,0.7,0.75,2020-01-08,1952,N,VIIRS,n,2,292.83,7.62,D,0
10.63352,-85.52924,332.41,0.68,0.74,2020-01-08,1952,N,VIIRS,n,2,287.61,8.38,D,0
10.63325,-85.52954,334.96,0.68,0.74,2020-01-08,1952,N,VIIRS,n,2,287.69,7.62,D,0
9.14266,-83.3178,306.87,0.52,0.41,2020-01-09,0647,N,VIIRS,n,2,291.5,1.24,N,0
9.1854,-83.45277,319.54,0.53,0.42,2020-01-09,0647,N,VIIRS,n,2,291.94,3.25,N,0
9.14402,-83.31481,306.19,0.52,0.41,2020-01-09,0647,N,VIIRS,n,2,291.74,0.71,N,0
10.89043,-84.92423,349.14,0.36,0.57,2020-01-09,1933,N,VIIRS,n,2,292.24,5.36,D,0
10.08018,-84.8199,367,0.36,0.57,2020-01-09,1933,N,VIIRS,h,2,306.56,7.32,D,0
10.40593,-85.31248,333.39,0.33,0.55,2020-01-09,1933,N,VIIRS,n,2,297.46,3.81,D,0
